H, lit, say, ex
C, Bl,, BLah
C, Sk,, SKy
C, H,, Hi
C, T,, To
C, V,, Vat
C, Gr,, Grip
C, Ch,, CHat
C, K,, King
C, Sz,, GroSZ
C, R,, Rod
C, D,, Day
C, L,, Low
C, M,, Man
C, Pr,, Pry
C, Th,, Thin
C, N,, No
V, au,, hOW
V, oo,, Boo,
V, ee,, bEEt
V, oy,, plOY
V, ey, ay, hEY
V, oe,, tOE
V, ur,, bURn
V, ah,, blAH
X, Bay, Baye,
X, Choe, Cho,
X, Chur, Chir,
X, Dau, Dow,
X, Hoo, Hue
X, Grah, Greh,
X, Grur, Gror,
X, Kur, Ker,
X, Loe, Lo,
X, Lur, Ler,
X, Mur, Murr,
X, Nar, Nur,
X, Nee, Knee,
X, Noo, New,
X, Prah, Preh,
X, Prau, Prow,
X, Proo, Pru,
X, Prur, Prir,
X, Rur, Rurr,
X, Skau, Skow,
X, Skoe, Sko,
X, Szau, Szhow,
X, Tur, Ter,
X, Thah, Theh,
X, Thay, They,
X, Thoo, Thew,
X, Thoy, Thoyh,
X, Thur, Thurr,
X, Vau, Vow,

